,Customer,Building,BuildingType,Area,BuildingYear,Electricity2019,Electricity2020,Heating2019,Heating2020,Energy2019,Energy2020,EnergyperArea2019
64,Tofsvaktlana,Myrspov,Kontor,5670,1978,50.520194,40.87194004,22.98481023,18.83492063,73.50500423,59.70686067,0.01296384554
182,Kaguerna,Mongolpipare,Kontor,5670,null,50.520194,51.27513228,22.98481023,20.91287478,73.50500423,72.18800705,0.01296384554
91,Doppingarna,Rödvingetrast,Kontor,3500,null,2.069146176,32.12971446,42.87407328,32.82889062,44.94321946,64.95860508,0.01284091984
144,Ralltranorna,Dvärgkanadagås,Kontor,7453,1906,81.69639722,75.95138169,13.25537634,7.709647122,94.95177356,83.66102881,0.01274007427
18,Änderna,Eleonorafalk,Kontor,15777,null,152.9508779,144.2750309,41.04075553,39.01882487,193.9916334,183.2938557,0.0122958505
79,Trappfåglarna,Skäggmes,Kontor,6222,1900,47.21261556,45.65068402,28.68370299,14.3667631,75.89631855,60.01744712,0.01219805827
122,Ralltranorna,Sävsångare,Kontor,8058,null,29.21522959,28.34649293,68.66551485,60.44055597,97.88074444,88.7870489,0.01214702711
11,Värnfåglarna,Dvärgsångare,Kontor,6633,null,22.07327001,19.11569426,57.43419267,44.53032515,79.50746269,63.6460194,0.011986652
177,Dunrallarna,Dvärgsångare,Kontor,6633,null,22.07327001,19.11569426,57.43419267,44.53032515,79.50746269,63.6460194,0.011986652
110,Trumpetarna,Prärielöpare,Kontor,5087,1985,32.56396101,6.712848713,28.15667387,26.60998624,60.72063488,33.32283495,0.01193643304
326,Tranorna,Fiskmås,Flerbostadshus,10719,1963,31.86862954,31.43140218,95.4594645,92.47691016,127.328094,123.9083123,0.0118787288
186,Kaguerna,Tatarfalk,Kontor,4941,null,54.08670309,52.01113135,4.054847197,5.385549484,58.14155029,57.39668083,0.01176716258
370,Näktergalarna,Svartbent Strandpipare,Flerbostadshus,8277,1983,71.75184245,45.82022472,24.23305545,66.42599976,95.98489791,112.2462245,0.01159658063
82,Trappfåglarna,Dubbelbeckasin,Kontor,5092,1991,25.13503535,22.83880597,33.68224666,28.26001571,58.81728201,51.09882168,0.01155091948
360,Albatrosserna,Rapphöna,Flerbostadshus,7568,null,13.57798626,13.37172304,73.32135307,69.48004757,86.89933932,82.85177061,0.01148247084
124,Ralltranorna,Orre,Kontor,7291,null,27.00934577,23.7668468,55.31065697,52.37141682,82.32000275,76.13826361,0.01129063266
51,Tofsvaktlana,Starrsångare,Kontor,8510,1957,52.11389753,53.01826181,41.95264395,34.94477086,94.06654148,87.96303267,0.01105364765
189,Solrallarna,Kragtrapp,Flerbostadshus,9651,null,9.833469071,9.946258419,95.55233033,84.02268677,105.3857994,93.96894519,0.01091967666
67,Tofsvaktlana,Orientseglare,Kontor,8030,1920,9.921892901,8.682291407,75.24744707,58.56787049,85.16933997,67.25016189,0.01060639352
125,Ralltranorna,Dvärgsävsparv,Kontor,3312,null,21.78318388,19.95752204,13.28502415,0,35.06820803,19.95752204,0.01058822706
328,Tranorna,Blåtrast,Flerbostadshus,10450,1970,56.72051675,55.69860287,51.40287081,55.05933014,108.1233876,110.757933,0.01034673565
325,Tranorna,Stortrapp,Flerbostadshus,5938,1992,15.60667902,15.92270461,45.31660492,42.38110475,60.92328393,58.30380936,0.01025989962
333,Tranorna,Fjällpipare,Flerbostadshus,10100,1957,20.36259802,25.39790693,80.73267327,40.20158416,101.0952713,65.59949109,0.0100094328
215,Trappfåglarna,Forsärla,Flerbostadshus,5639,1992,22.04589466,21.8979961,34.08937755,32.47738961,56.13527221,54.37538571,0.009954827489
153,Ralltranorna,Svartmes,Kontor,6955,1929,12.32347882,14.14066156,56.88598131,51.29992811,69.20946012,65.44058967,0.009951036682
62,Tofsvaktlana,Svart Buskskvätta,Kontor,4566,1964,8.001051249,23.91009636,36.96221288,34.7282085,44.96326413,58.63830486,0.009847407824
180,Kaguerna,Varfågel,Kontor,4566,null,8.001051249,30.58583005,36.96221288,41.38063951,44.96326413,71.96646956,0.009847407824
160,Ralltranorna,Dalripa,Kontor,8000,1990,43.929875,44.74521774,32.18125,29.95,76.111125,74.69521774,0.009513890625
152,Ralltranorna,Svartlärka,Kontor,8088,1991,36.75733545,36.79990837,39.45474777,31.82863501,76.21208322,68.62854339,0.009422858954
322,Tranorna,Gulgrå Sparv,Flerbostadshus,13769,1961,53.35323408,53.5744179,74.89505411,61.407437,128.2482882,114.9818549,0.009314277593
364,Sydstormsvalorna,Gråhuvad Vipa,Flerbostadshus,5274,2017,38.00796359,24.70534699,10.48065984,8.503602579,48.48862344,33.20894956,0.009193899021
24,Storfotshönsen,Styltlöpare,Kontor,6529,null,17.91316458,24.09446508,41.85491475,31.45669683,59.76807933,55.55116191,0.009154247103
265,Lommarna,Skedand,Flerbostadshus,5258,2014,10.86432103,11.51921073,36.59613913,35.10079878,47.46046017,46.62000951,0.009026333238
154,Ralltranorna,Större Korsnäbb,Kontor,17268,2017,77.76233492,70.22961707,74.14798449,59.85081569,151.9103194,130.0804328,0.008797215625
17,Änderna,Gulbrynad Sparv,Kontor,7330,null,32.08358254,31.84486221,32.15429741,37.01759891,64.23787995,68.86246112,0.008763694399
